WU Tharanga	c Smith b Lee	6	32	18	0	0	33.33
TM Dilshan	c White b Tait	4	7	4	1	0	100.00
KC Sangakkara	not out	73	147	102	7	0	71.56
DPMD Jayawardene	run out (Smith)	23	47	25	3	0	92.00
TT Samaraweera	not out	34	74	48	2	0	70.83
LPC Silva								
AD Mathews								
HMRKB Herath								
SL Malinga								
M Muralitharan								
BAW Mendis
SR Watson								
BJ Haddin								
RT Ponting								
MJ Clarke								
DJ Hussey								
CL White								
SPD Smith								
MG Johnson								
JJ Krejza								
B Lee								
SW Tait
